Star HIP,Magnitude,RA (degrees),Dec (degrees),Distance (AU),Color
7884.0,4.45,25.357735580425697,5.487638056821011,23280452.18018696,1.347
7918.0,4.96,25.453824947473137,42.61212933209541,2607975.8321786365,0.618
7999.0,4.98,25.681211611836503,-3.690436953618045,76112474.63867825,1.378
8068.0,4.01,25.91541751873087,50.68863898731795,45332924.4564197,-0.098
8102.0,3.49,26.004696254874776,-15.931604718523872,752324.5365014523,0.727
8198.0,4.26,26.34895405180304,9.158003969437589,16331338.587685538,0.942
8497.0,4.66,27.395219079400476,-10.687060100096954,4870479.495497443,0.333
8645.0,3.74,27.865411110423214,-10.3352993546938,16383225.285575308,1.136
8796.0,3.42,28.270544618366586,29.57722187261977,4054743.59687549,0.488
8832.0,3.88,28.383138453224795,19.293170135789676,12923860.051002637,-0.047
8833.0,4.61,28.38912319974112,3.1877009251266406,12055219.54304186,0.928
8837.0,4.39,28.41050394500296,-46.30329766390707,20321655.79648721,1.597
8886.0,3.35,28.59935224955399,63.66997314447979,27949160.743428785,-0.15
8903.0,2.64,28.660746898109316,20.807286676296933,3768081.9642868647,0.165
8928.0,4.68,28.735255407388877,-67.64679997534982,13714415.31237422,0.931
9007.0,3.69,28.99701297381737,-51.60694034708662,3606658.6453411146,0.844
9009.0,4.97,29.000369671983417,68.68517486700316,44358022.8532908,-0.084
9061.0,4.92,29.167954855923167,-22.52699255024503,25215746.492962312,1.434
9095.0,4.82,29.293034606265536,-47.3852168347433,16879280.386549916,0.864
9153.0,4.79,29.48146806949714,23.595961575113765,8422409.410255913,0.29
9236.0,2.86,29.696266027424567,-61.569674029328105,4509506.045837384,0.29
9347.0,3.99,30.002263643431476,-21.078000255927574,19028118.668588266,1.554
9480.0,4.49,30.48824096871556,70.9069464812232,7390354.939738988,0.164
9487.0,3.82,30.51197954241612,2.7637565785253635,8795940.572721168,0.024
9505.0,4.99,30.575850664657324,54.48751780257151,46772064.91510468,-0.071
9598.0,3.95,30.857770252455325,72.42144911777717,10251729.93694774,-0.002
9640.0,2.1,30.97520527560156,42.329374958192304,22444483.821660496,1.37
9677.0,4.68,31.12275940645638,-29.29676015018269,22842171.240365133,-0.156
9884.0,2.01,31.794793042472943,23.46142045880772,4168650.096648221,1.151
9977.0,4.78,32.12325932429199,37.858777106160346,12516068.35150232,0.12
10053.0,4.98,32.35616086233781,25.939664552507747,20241884.822726637,0.339
10064.0,3.0,32.387194284714965,34.98702775434603,7860701.467227064,0.14
10280.0,4.94,33.09231991979113,30.30264657486612,19313184.114956822,0.77
10324.0,4.36,33.24979866167504,8.846618254861736,22892875.285205167,0.878
10340.0,4.84,33.30531930492678,44.23154706432287,35198772.40402546,1.476
10602.0,3.56,34.12844191494999,-51.51231526316686,9794150.348710138,-0.12
10644.0,4.84,34.273038252837225,34.222536158523035,2237145.452156256,0.607
10670.0,4.03,34.328985520774765,33.846833001440004,7438326.954957413,0.019
11001.0,4.08,35.43631506782431,-68.65940168877292,8558705.654942028,0.034
11313.0,4.73,36.4061839638173,50.27853228610331,21803890.73014339,1.532
11345.0,4.88,36.487439546843824,-12.29055783507767,33430276.546451464,-0.027
11407.0,4.24,36.74654704428184,-47.70387754778872,33430276.543343488,-0.136
11484.0,4.3,37.040050491579365,8.459954097670764,11131398.078598702,-0.053
11569.0,4.46,37.26594102058533,67.40272879031919,8952465.55360836,0.153
11767.0,1.97,37.978193574676204,89.26402863410254,27283704.53252544,0.636
11783.0,4.74,38.02120771226365,-15.245686758692852,5325711.505066094,0.454
