Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
9347,30.00226364343148,-21.078000255927574,3.99,1.554,6.04952685528713e+17,1.507729901220583e+18,-1.0369675023055493e+18,HIP 116454 b
9480,30.48824096871556,70.9069464812232,4.49,0.164,-1.3836427210939146e+18,3.6305105758441946e+17,1.0315586006567581e+18,HIP 116454 b
9487,30.51197954241612,2.7637565785253635,3.82,0.024,-5.6294781470757914e+17,8.468823808239873e+17,5.023065378914405e+16,HIP 116454 b
9505,30.575850664657324,54.48751780257151,4.99,-0.071,1.8040550168392317e+18,2.2470795009445192e+18,5.682345073487972e+18,HIP 116454 b
9598,30.857770252455325,72.42144911777717,3.95,-0.002,-1.297665868235736e+18,4.1713813765567955e+17,1.448824725283895e+18,HIP 116454 b
9640,30.97520527560156,42.329374958192304,2.1,1.37,4.3301269202760704e+17,1.4571229097483197e+18,2.2478255199863488e+18,HIP 116454 b
9677,31.12275940645638,-29.29676015018269,4.68,-0.156,8.55883106923423e+17,1.719911335573744e+18,-1.6853617586965765e+18,HIP 116454 b
9884,31.794793042472943,23.46142045880772,2.01,1.151,-1.2090553159282678e+18,4.8097983644777946e+17,2.3506873148126013e+17,HIP 116454 b
9977,32.12325932429199,37.858777106160346,4.78,0.12,-4.432930027432028e+17,9.656473477083054e+17,1.1359086193664364e+18,HIP 116454 b
10053,32.35616086233781,25.939664552507747,4.98,0.339,6.050313500386578e+17,1.6369232527311355e+18,1.3113844836798815e+18,HIP 116454 b
10064,32.387194284714965,34.98702775434603,3.0,0.14,-8.8170621888037e+17,6.956235755572531e+17,6.610673421526688e+17,HIP 116454 b
10280,33.09231991979113,30.30264657486612,4.94,0.77,3.9458832835244954e+17,1.5415379338930355e+18,1.4446048172481605e+18,HIP 116454 b
10324,33.24979866167504,8.846618254861736,4.36,0.878,1.1347414593335078e+18,2.0349982206808986e+18,5.1347747229767546e+17,HIP 116454 b
10340,33.30531930492678,44.23154706432287,4.84,1.476,1.4580587630309875e+18,2.2513445800349414e+18,3.6599475900393267e+18,HIP 116454 b
10602,34.12844191494999,-51.51231526316686,3.56,-0.12,-9.404584589588356e+17,6.911683971187052e+17,-1.1600953529460047e+18,HIP 116454 b
10644,34.273038252837225,34.222536158523035,4.84,0.607,-1.4666036285756652e+18,3.3540397867128275e+17,1.7500718869604352e+17,HIP 116454 b
10670,34.328985520774765,33.846833001440004,4.03,0.019,-9.320744790585103e+17,7.007586404025047e+17,6.06568740708046e+17,HIP 116454 b
11001,35.43631506782431,-68.65940168877292,4.08,0.034,-1.3156497483933522e+18,4.4972075964858176e+17,-1.2058091890998876e+18,HIP 116454 b
11313,36.4061839638173,50.27853228610331,4.73,1.532,-1.7606011864451072e+16,1.416736837206613e+18,2.495676330118817e+18,HIP 116454 b
11345,36.487439546843824,-12.29055783507767,4.88,-0.027,2.2334367273035384e+18,3.0853342244453274e+18,-1.0778137984090295e+18,HIP 116454 b
11407,36.74654704428184,-47.70387754778872,4.24,-0.136,1.0015367375528686e+18,2.193124849413167e+18,-3.712466185041209e+18,HIP 116454 b
11484,37.040050491579365,8.459954097670764,4.3,-0.053,-3.8051466388431565e+17,1.1717578579583483e+18,2.3177147221953642e+17,HIP 116454 b
11569,37.26594102058533,67.40272879031919,4.46,0.153,-1.2857291317969636e+18,4.9117905968275117e+17,1.2232516297087846e+18,HIP 116454 b
11767,37.978193574676204,89.26402863410254,1.97,0.636,-1.6539579097405788e+18,2.1182858197038112e+17,4.0680874445338414e+18,HIP 116454 b
11783,38.02120771226365,-15.245686758692852,4.74,0.454,-1.0897251462448108e+18,6.530419194894939e+17,-2.2272408541497395e+17,HIP 116454 b
11918,38.46116761995172,-28.23235312214142,4.96,-0.05,1.265454770156833e+18,2.5313698505168333e+18,-2.0433924583916977e+18,HIP 116454 b
12093,38.96843398175161,5.593089764687819,4.87,0.88,1.0272972999275374e+18,2.381786841881335e+18,3.2970474059077555e+17,HIP 116454 b
12387,39.87075230960048,0.3284932510605736,4.08,-0.212,3.003583555823308e+18,4.104355727025348e+18,2.1883629562332416e+16,HIP 116454 b
12390,39.89218505117721,-11.87378130623978,4.83,0.447,-1.0689333164385805e+18,7.031317324263022e+17,-1.8486088743848083e+17,HIP 116454 b
12394,39.89896248833415,-68.26694232740019,4.12,-0.061,-1.283169050890286e+18,5.241353169969797e+17,-1.3608370209060324e+18,HIP 116454 b
12413,39.9508341904848,-42.89177351264826,4.74,0.061,-1.0061935247943121e+18,7.567750538127334e+17,-8.482838143151839e+17,HIP 116454 b
12486,40.16802120992968,-39.85556350193379,4.11,1.006,-8.879121483212876e+17,8.61076461374601e+17,-8.952422783824037e+17,HIP 116454 b
12623,40.561998271504166,40.192689944730375,4.91,0.582,-1.2533520662935552e+18,5.5783973464754714e+17,4.782434606256243e+17,HIP 116454 b
12706,40.82415370245565,3.2348193486245647,3.47,0.093,-1.1092342459528379e+18,6.85862275013514e+17,3.055318667170388e+16,HIP 116454 b
12719,40.8629972128898,27.7070779665668,4.65,-0.122,6.472009106149921e+17,2.2060439986066678e+18,1.6134379680202783e+18,HIP 116454 b
12770,41.03057088190237,-13.85875412659699,4.24,-0.122,1.3587439423719273e+18,2.8372545961647483e+18,-1.0120293190071784e+18,HIP 116454 b
12777,41.05346121203353,49.22782876066897,4.1,0.514,-1.524598591694143e+18,3.2822080669338355e+17,2.492614690103886e+17,HIP 116454 b
12828,41.237585480747136,10.1139367957075,4.27,0.311,-1.1051647270848512e+18,6.968609604636844e+17,1.2676435630040798e+17,HIP 116454 b
12843,41.27817252883147,-18.572312941622872,4.47,0.481,-1.3881008490993848e+18,4.49226123341909e+17,-1.505581984210118e+17,HIP 116454 b
12876,41.38717806247968,-67.6163141968088,4.83,0.058,-8.981745101189533e+17,8.819959867762196e+17,-2.592988620491802e+18,HIP 116454 b
13061,41.97842286605031,29.246253159484024,4.52,1.112,-5.870306162431039e+17,1.1766867636632648e+18,8.215400051724687e+17,HIP 116454 b
13147,42.2732899126529,-32.40480427655885,4.45,0.981,-6.969821682854743e+17,1.0871008205030646e+18,-8.6957779988417e+17,HIP 116454 b
13209,42.4964746887523,27.25970511847044,3.61,-0.1,-7.0629582637611e+17,1.0856951556224607e+18,6.77899837815274e+17,HIP 116454 b
13244,42.617677068074926,-75.06713406763944,4.76,1.337,-1.1054230027160918e+18,7.223073532191107e+17,-3.018774302451174e+18,HIP 116454 b
13254,42.6477974945478,38.31789442276793,4.22,0.343,-9.98053502943957e+17,8.217769984292424e+17,7.358899201003078e+17,HIP 116454 b
13268,42.67441280376515,55.89540145751016,3.77,1.69,3.496793880424789e+18,4.966386673611071e+18,1.041545431303991e+19,HIP 116454 b
13288,42.759385752643965,-21.00413368330277,4.76,0.906,-5.103904234314744e+17,1.2752307670620895e+18,-6.32843531025257e+17,HIP 116454 b
13328,42.87856780400969,35.05930750519153,4.56,1.554,6.270880909496179e+17,2.3360294211670477e+18,2.2107626732119324e+18,HIP 116454 b
13531,43.564396379436985,52.7624477230595,3.93,0.758,-6.663872855164106e+17,1.158153056261139e+18,1.854953999832739e+18,HIP 116454 b
