Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
68282,209.6695137399568,-44.80373331556247,3.87,-0.208,-2.1599369323668777e+18,-1.9180188165336067e+18,-3.093582580792123e+18,HD 63433 d
68520,210.41175860254347,1.5443860418836066,4.23,0.121,-1.5047249111359514e+18,-1.575536151609008e+18,-2.5373313644507773e+17,HD 63433 d
68523,210.431268236991,-45.60356482414248,4.34,0.598,-2.2810425844555418e+18,-2.032384057938448e+18,-3.3379674453514916e+18,HD 63433 d
68702,210.95537949934547,-60.37321168605802,0.61,-0.231,-1.8306688244772093e+18,-1.793880355375241e+18,-4.628732521619958e+18,HD 63433 d
68756,211.0963917778384,64.37596876479715,3.67,-0.049,-8.06245417895637e+17,-1.183056660459215e+18,2.3253025630148577e+18,HD 63433 d
68862,211.51130637196783,-41.179781705807294,4.36,-0.198,-2.4327379833136727e+18,-2.1909481342002903e+18,-3.0887596183457695e+18,HD 63433 d
68895,211.59323583430032,-26.68332970662156,3.25,1.091,-4.541600269872593e+17,-9.793743704722747e+17,-7.401326875197834e+17,HD 63433 d
68933,211.6661824248818,-36.37351637574749,2.06,1.011,-1.192531566908905e+17,-7.740866564882316e+17,-6.513227138633818e+17,HD 63433 d
69112,212.21122692066783,77.5477439505112,4.8,1.368,-5.87570817047521e+17,-1.0743495195654235e+18,4.3119710119343457e+18,HD 63433 d
69191,212.4767329902588,-53.43956865972652,4.74,0.938,-5.889590580873587e+17,-1.0808386946589815e+18,-1.6917417855236099e+18,HD 63433 d
69226,212.59954860227776,25.091263788218804,4.82,0.541,-5.874623455367222e+17,-1.082489871104564e+18,1.704455018928453e+17,HD 63433 d
69269,212.7103849287666,-16.302104807189924,4.93,1.684,-3.86364236917596e+18,-3.18895470742797e+18,-1.748216159222153e+18,HD 63433 d
69389,213.06554383938217,2.409253178018684,4.99,-0.118,-1.799398715521551e+18,-1.8814482211722117e+18,-2.0521036320201606e+17,HD 63433 d
69427,213.2239969413794,-10.272733418449755,4.18,1.323,-1.4650168392555745e+18,-1.6706212520210514e+18,-6.86567310672632e+17,HD 63433 d
69483,213.3715484620878,51.78989230368611,4.53,0.233,-4.82091120214318e+17,-1.0296185655432653e+18,8.435251197775355e+17,HD 63433 d
69673,213.90733789496576,19.168657818512287,-0.05,1.239,3603297245968096.0,-7.133812202922467e+17,-1.9536419939645338e+17,HD 63433 d
69701,214.003445305431,-6.003434399623179,4.07,0.511,-2.6844008664258688e+17,-8.97564351621769e+17,-3.78446576312417e+17,HD 63433 d
69713,214.03972002562912,51.367846413188445,4.75,0.236,-2.001028440662942e+17,-8.51902976762228e+17,4.0928756287716384e+17,HD 63433 d
69732,214.0940526233112,46.08939916040373,4.18,0.087,-2.519033697402649e+17,-8.876244538334476e+17,3.526096603241909e+17,HD 63433 d
69879,214.49928999344823,35.50960287163579,4.8,1.057,-1.1391019304283517e+18,-1.502832226050927e+18,9.156926040912814e+17,HD 63433 d
69896,214.55702225785035,-81.00821021523343,4.89,0.243,1.0582961796533526e+17,-6.474896109020206e+17,-1.6141077482386337e+18,HD 63433 d
69974,214.7773439044176,-13.37089275628569,4.52,0.128,-1.1356089840489016e+18,-1.5105506257619546e+18,-7.178614987685619e+17,HD 63433 d
69996,214.8507978796553,-46.0581192012953,3.55,-0.184,-1.6197389241940186e+18,-1.850351179293093e+18,-2.7062223169561656e+18,HD 63433 d
