HIP ID,RAJ2000,DEJ2000,Gmag,Plx,Teff,PM,Absolute Magnitude
180,0.57091424425,-9.17492855123,8.134801,2.5705,--,14.669,0.18488904101526238
178,0.56804835009,-27.13515298469,8.456539,9.0301,6311.8,92.621,3.2350017987478816
179,0.56951743254,-13.40743587506,6.78791,16.098,6215.3,264.178,2.8217696152779137
182,0.58118710852,52.58640614303,8.253679,2.3479,5057.3,13.573,0.10707697911929337
183,NULL,NULL,NULL,NULL,NULL,NULL,NULL
185,NULL,NULL,NULL,NULL,NULL,NULL,NULL
184,0.58976198687,11.00623756194,8.250363,29.589,5089.8,43.02,5.606014439216379
186,0.60069473069,8.95682488285,6.304925,8.078,--,3.693,0.8414442441698471
190,NULL,NULL,NULL,NULL,NULL,NULL,NULL
189,NULL,NULL,NULL,NULL,NULL,NULL,NULL
192,0.61982469267,8.39386130163,7.886728,3.3161,--,28.473,0.48986609309648177
187,0.60229018965,-6.05926740296,8.884155,7.6684,6363.5,80.047,3.307678792588508
188,0.60269800864,6.33301238927,8.520445,9.7253,6189.7,94.386,3.4599600352509503
191,0.61299261985,-46.02886991377,11.565679,27.0635,--,201.319,8.727598806170008
193,0.6217326273,-39.21258703567,9.205852,3.8281,5155.9,46.645,2.1207683708126144
194,0.62375872882,8.48546371462,5.635739,26.6268,7074.2,104.963,2.7623338810403437
195,0.62577981579,47.42289044096,7.507746,8.8386,6357.8,31.022,2.2396633994853214
196,0.62700592248,51.82997652184,8.298363,0.9242,4318.5,1.161,-1.8728071790865677
197,0.63230481021,42.14778178641,8.699654,2.2324,--,10.195,0.44351406922311654
198,0.63275025924,15.33517409921,8.910211,3.7316,7957.2,22.857,1.7696864220187987
201,NULL,NULL,NULL,NULL,NULL,NULL,NULL
199,0.63499961135,16.256563102,7.227994,4.5264,9410.0,13.777,0.5067586505645787
202,0.6417448996,54.55213746135,8.565803,2.2685,--,10.091,0.34449691801017757
200,0.63548760317,-33.9926342236,10.215187,2.7587,6895.8,17.407,2.4187093743993007
203,0.64228207474,-15.83125142809,8.914089,2.0494,4817.7,21.996,0.47222265935253205
205,NULL,NULL,NULL,NULL,NULL,NULL,NULL
204,0.64522635737,-43.94792582714,8.139615,2.4762,--,42.286,0.10854359630529586
208,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207,0.65038605722,66.09896334536,5.585219,4.0626,--,7.263,-1.3707606790946585
206,0.64679287565,18.8360434199,8.45711,10.4802,6427.2,26.855,3.558957853156281
212,NULL,NULL,NULL,NULL,NULL,NULL,NULL
209,0.66021391462,66.10037345352,7.336741,4.063,9976.7,8.259,0.38097511163205766
210,0.66212663422,-8.48798789152,8.965019,--,--,--,NULL
211,0.66321560794,-37.94771235401,9.289239,4.053,5058.2,20.253,2.3281220187084646
213,0.66702746183,51.472399879,7.446955,4.1769,4827.1,41.976,0.5512253892917744
214,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215,0.67452202562,75.03621059234,8.139162,1.4391,--,7.614,-1.0703831340722
216,NULL,NULL,NULL,NULL,NULL,NULL,NULL
217,NULL,NULL,NULL,NULL,NULL,NULL,NULL
221,NULL,NULL,NULL,NULL,NULL,NULL,NULL
218,0.67962758766,-57.6336673692,8.143567,3.0884,4787.5,30.813,0.5922347189120494
219,0.69030789256,6.03440151356,8.449332,10.2032,6063.9,38.317,3.4930139982158996
222,0.69446265558,-40.98323091526,8.54381,2.9765,--,21.818,0.9123394344388602
220,0.69177788377,35.81546721059,7.47762,5.4556,9998.2,13.13,1.1618326035490885
224,0.69625741367,3.86041649248,8.749537,2.0771,4973.0,5.273,0.33682402866186756
225,0.70010803006,-15.04054139244,8.926423,6.0624,6282.7,17.797,2.8396459396545897
223,0.69656125501,2.13015273415,7.213268,23.3713,5947.0,112.255,4.056682350819514
226,0.70044606947,-24.9452985401,10.310272,1.2529,6243.2,53.145,0.7998540461866259
227,0.70486223078,80.28654759,9.826315,5.8441,6314.8,50.647,3.6599031932899244
228,0.71026356148,28.25190536451,7.521874,10.3576,6119.7,41.204,2.598169674968017
229,0.71400274834,47.25227059824,8.898067,3.8783,10064.8,19.164,1.8412740011571058
230,NULL,NULL,NULL,NULL,NULL,NULL,NULL
231,0.72375467329,-58.78139714415,9.446426,3.8148,--,72.932,2.3537848698119896
234,NULL,NULL,NULL,NULL,NULL,NULL,NULL
232,0.73011416017,-30.14977328832,8.425649,4.3628,10256.1,18.621,1.6244755223174971
233,0.73192025764,71.35851784244,8.064291,2.9047,--,12.928,0.37979742361025437
235,0.73644530806,71.36803526132,8.695427,2.2811,5097.2,4.771,0.486148622560874
236,0.73786000793,-0.89387387896,7.705997,2.6511,4809.5,25.396,-0.1768724514343134
237,0.73930006247,-39.52741276784,8.778294,7.7429,4969.6,70.245,3.2228122518073663
240,0.74372906702,9.79522743815,10.643247,2.9294,6290.0,15.91,2.977140386116977
238,0.73953410344,-20.04588301518,6.133678,17.407,6120.8,127.386,2.3372976465942283
239,0.74319154817,3.38193277011,8.440057,3.5929,6143.0,7.604,1.2172826489893431
241,0.75202221156,9.13828113973,8.47543,2.5586,--,23.413,0.515441977753273
243,NULL,NULL,NULL,NULL,NULL,NULL,NULL
242,0.7522306562,-34.74393803353,7.509375,7.9424,4999.7,51.069,2.0091337774130853
244,NULL,NULL,NULL,NULL,NULL,NULL,NULL
245,NULL,NULL,NULL,NULL,NULL,NULL,NULL
246,0.76446978326,56.73329710006,9.494833,16.956,5019.6,182.49,5.641450039480917
247,0.76543460335,8.26129272601,9.091084,7.5269,6423.2,62.684,3.474164730871056
248,0.76566018255,8.27068431678,8.037072,7.4829,7060.5,61.692,2.407421707180001
250,NULL,NULL,NULL,NULL,NULL,NULL,NULL
249,0.77422596882,31.87008534965,8.624852,13.1047,5996.3,12.401,4.211987416441377
251,0.77532833031,-25.26111547551,8.175399,1.5318,4545.3,39.952,-0.8985906740605287
252,0.77964194656,29.48597568473,10.041371,1.3015,--,18.673,0.6135918622262739
254,0.78477882238,42.74790520119,6.715531,5.7823,--,33.559,0.5260341009456546
255,NULL,NULL,NULL,NULL,NULL,NULL,NULL
253,0.78272526819,-24.145144725,6.130807,6.4919,--,57.211,0.1926661070782112
256,NULL,NULL,NULL,NULL,NULL,NULL,NULL
257,NULL,NULL,NULL,NULL,NULL,NULL,NULL
259,NULL,NULL,NULL,NULL,NULL,NULL,NULL
258,0.8054792431,17.55226903902,6.303553,7.0182,4632.2,79.687,0.5346817014564591
260,0.81722833163,-55.40506895597,9.561519,4.2506,6750.8,31.93,2.7037701894247634
261,0.82052654667,-23.61543795431,9.060028,5.0333,6402.4,39.348,2.5692920822079337
263,0.82917484275,4.68693065377,11.169146,34.8788,--,88.026,8.881953673397934
262,0.82594709338,32.84586257997,9.008277,3.8518,7004.3,52.599,1.9365956441428551
264,0.83207640054,38.24401241051,8.080599,3.1144,4724.9,1.461,0.5474709535505262
266,0.83533478246,-11.94536617494,7.791934,3.8323,4567.4,64.99,0.7092314958279733
265,0.83538369262,-64.47609603741,8.440932,1.2994,--,6.554,-0.9903536878532506
267,0.83536025967,-4.14575464039,8.022013,11.5073,6548.4,22.815,3.326880177377662
268,0.84178605337,59.07860652395,7.63185,1.2902,4660.1,4.765,-1.8148648122098443
270,0.84988244645,73.17449713347,7.346511,4.9998,9571.7,21.504,0.8412741610464876
269,0.84202326896,23.57503457718,8.437085,3.2679,4741.2,12.576,1.0084287917610872
271,0.8528391773,-35.96515794944,9.131726,4.7894,7851.7,23.222,2.5331315493165034
272,NULL,NULL,NULL,NULL,NULL,NULL,NULL
276,NULL,NULL,NULL,NULL,NULL,NULL,NULL
274,0.85714847739,63.64051696258,6.162851,0.8162,20794.2,4.452,-4.278166047813739
273,0.85686863447,-46.83097560741,11.133667,0.8799,--,2.876,0.8558335885010742
275,0.85750590327,-29.00074713283,9.862014,--,--,--,NULL
277,0.8594970681,-36.25119068951,6.896962,15.129,7024.0,72.661,2.79601311439398
278,0.86311197017,55.55089823058,7.900065,0.7951,--,2.29,-2.597826232711311
