Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
92845,283.78057997760027,-22.6715398412416,5.0,1.348,1.7738545243628196e+18,-1.9132068325749837e+18,1.240990771436359e+18,HD 114082 b
92855,283.8164636092741,-26.29708438497137,2.05,-0.134,1.6662998980627502e+18,-1.4696789268799276e+18,1.2861943668311619e+18,HD 114082 b
92862,283.8339460316495,43.94664289362716,4.08,1.397,1.7813062171353554e+18,-1.9342782307531359e+18,4.521631233732346e+18,HD 114082 b
92946,284.0551865931094,4.20378072280609,4.62,0.161,1.51414807684386e+18,-8.292843592735117e+17,2.317862376612647e+18,HD 114082 b
92951,284.0613762863816,4.202346885486967,4.98,0.204,1.5392978116632535e+18,-9.291427692204631e+17,2.3253974405706573e+18,HD 114082 b
93015,284.2374811004008,-67.23338012188633,4.4,0.53,1.7014035638042007e+18,-1.5511821010958034e+18,-2.5157856059158927e+18,HD 114082 b
93026,284.2657108530957,-5.846594982074245,4.83,1.057,1.6915966826602706e+18,-1.5086324865926705e+18,2.027075978229539e+18,HD 114082 b
93085,284.4327639172443,-21.10673910518156,3.52,1.151,2.0309984866907592e+18,-2.8046138719425956e+18,9.579162313213588e+17,HD 114082 b
93148,284.6158249314594,-52.938689491791095,4.85,-0.051,1.9762073568474342e+18,-2.5528966106108303e+18,-1.7839917011739999e+18,HD 114082 b
93174,284.67959791230226,-37.1081166946105,4.83,0.396,1.3984792239937062e+18,-3.3422580019535706e+17,1.669507075582241e+18,HD 114082 b
93194,284.7359051647757,32.68956960039243,3.25,-0.049,2.4971033797011753e+18,-4.508421800494335e+18,5.468727829726604e+18,HD 114082 b
93244,284.90528063820034,15.067790502844908,4.02,1.082,1.5731168696804288e+18,-9.790465569274452e+17,2.6044214347845627e+18,HD 114082 b
93279,285.0034899693542,32.145581271992974,4.94,1.465,4.4023333745433723e+18,-1.1525957082792946e+19,9.970863411531821e+18,HD 114082 b
93408,285.3600173040842,46.93422028592944,5.0,0.186,1.4304641402544166e+18,-4.1766167358916774e+17,3.109065110590862e+18,HD 114082 b
93429,285.4199464651365,-5.739388148600036,4.02,1.079,1.583851457958994e+18,-9.705291901336005e+17,2.0858113624465068e+18,HD 114082 b
93506,285.6528629890513,-29.880080217483584,2.6,0.062,1.4091174687101873e+18,-3.258496170432388e+17,1.8064934202606316e+18,HD 114082 b
93542,285.77916852661883,-42.09541639586524,4.74,-0.027,1.5627177680549699e+18,-8.63491302112013e+17,1.0610065725689252e+18,HD 114082 b
93683,286.1713219547123,-21.74189515679656,3.76,1.012,1.551769409184752e+18,-7.940356356004196e+17,1.7397927440252283e+18,HD 114082 b
93747,286.3524843817478,13.862822635180477,2.99,0.014,1.427215647978415e+18,-3.5583569117374694e+17,2.415097899546389e+18,HD 114082 b
93805,286.5621075791054,-4.883175782358159,3.43,-0.096,1.5483681229476524e+18,-7.534035550245599e+17,2.1255632105007483e+18,HD 114082 b
93825,286.60546249432656,-37.06536051683704,4.23,0.523,1.3378367096030825e+18,-4.431078645375264e+16,1.8936276642153462e+18,HD 114082 b
93864,286.73464249739834,-27.67214609375712,3.32,1.169,1.5024024454290908e+18,-5.881848191808054e+17,1.6974022430489953e+18,HD 114082 b
94005,287.08780901251225,-40.4968874466187,4.57,1.07,1.5812401959306924e+18,-8.234837687010181e+17,1.153076298894789e+18,HD 114082 b
94114,287.36883783530783,-37.905139217734025,4.11,0.042,1.5009290305383286e+18,-5.460708238453421e+17,1.4726262861724408e+18,HD 114082 b
94141,287.4409623881598,-21.02386818013327,2.88,0.377,2.3769755200350177e+18,-3.3304849321903493e+18,7.324371919561116e+17,HD 114082 b
94160,287.5073727610877,-39.34104914639446,4.1,1.163,2.3301812493558676e+18,-3.167162371327782e+18,-8.205620696038003e+17,HD 114082 b
94376,288.14046027450405,67.66217615511208,3.07,0.99,1.3241491790752061e+18,3.537034877010957e+16,3.1035216070608266e+18,HD 114082 b
94481,288.4395173735719,39.14596400386724,4.43,-0.15,3.630293756774135e+18,-6.875277622832133e+18,8.450071410719468e+18,HD 114082 b
94490,288.47955502562905,57.70466730579628,5.0,1.156,1.471402735170831e+18,-3.98517096072661e+17,3.5215188458240276e+18,HD 114082 b
