Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
9236,29.696266027424567,-61.569674029328105,2.86,0.29,5.23286361170693e+17,2.1094464772098038e+17,-6.361633350613718e+17,GJ 486 b
9347,30.00226364343148,-21.078000255927574,3.99,1.554,2.5445248648393216e+18,1.3799944329254723e+18,-1.066652351530213e+18,GJ 486 b
9480,30.48824096871556,70.9069464812232,4.49,0.164,5.5592945821669376e+17,2.3531558928930902e+17,1.0018737514320945e+18,GJ 486 b
9487,30.51197954241612,2.7637565785253635,3.82,0.024,1.3766243646030292e+18,7.191469125288769e+17,2.054580456448037e+16,GJ 486 b
9505,30.575850664657324,54.48751780257151,4.99,-0.071,3.7436271961498404e+18,2.1193440326494085e+18,5.652660224263309e+18,GJ 486 b
9598,30.857770252455325,72.42144911777717,3.95,-0.002,6.419063110748722e+17,2.8940266936056915e+17,1.4191398760592315e+18,GJ 486 b
9640,30.97520527560156,42.329374958192304,2.1,1.37,2.3725848713382154e+18,1.329387441453209e+18,2.2181406707616852e+18,GJ 486 b
9677,31.12275940645638,-29.29676015018269,4.68,-0.156,2.7954552862340316e+18,1.5921758672786337e+18,-1.71504660792124e+18,GJ 486 b
9884,31.794793042472943,23.46142045880772,2.01,1.151,7.305168633823406e+17,3.5324436815266906e+17,2.0538388225659645e+17,GJ 486 b
9977,32.12325932429199,37.858777106160346,4.78,0.12,1.4962791765674056e+18,8.37911879413195e+17,1.1062237701417727e+18,GJ 486 b
10053,32.35616086233781,25.939664552507747,4.98,0.339,2.5446035293492664e+18,1.5091877844360248e+18,1.281699634455218e+18,GJ 486 b
10064,32.387194284714965,34.98702775434603,3.0,0.14,1.0578659604302383e+18,5.6788810726214266e+17,6.313824929280051e+17,GJ 486 b
10280,33.09231991979113,30.30264657486612,4.94,0.77,2.334160507663058e+18,1.413802465597925e+18,1.414919968023497e+18,GJ 486 b
