Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
69191,212.4767329902588,-53.43956865972652,4.74,0.938,-1.0377058993460215e+18,-3.5360351141036166e+17,-1.222775819395398e+18,AU Mic b
69226,212.59954860227776,25.091263788218804,4.82,0.541,-1.036209186795385e+18,-3.5525468785594406e+17,6.394114680210574e+17,AU Mic b
69269,212.7103849287666,-16.302104807189924,4.93,1.684,-4.312389210434623e+18,-2.4617195241793505e+18,-1.279250193093941e+18,AU Mic b
69389,213.06554383938217,2.409253178018684,4.99,-0.118,-2.248145556780214e+18,-1.154213037923592e+18,2.6375560292619603e+17,AU Mic b
69427,213.2239969413794,-10.272733418449755,4.18,1.323,-1.9137636805142374e+18,-9.433860687724316e+17,-2.1760134454441997e+17,AU Mic b
69483,213.3715484620878,51.78989230368611,4.53,0.233,-9.308379614729809e+17,-3.023833822946455e+17,1.3124910859057475e+18,AU Mic b
69673,213.90733789496576,19.168657818512287,-0.05,1.239,-4.451435440126948e+17,1.3853962956373216e+16,2.7360176673175872e+17,AU Mic b
69701,214.003445305431,-6.003434399623179,4.07,0.511,-7.171869279012498e+17,-1.7032916837314906e+17,9.051938981579504e+16,AU Mic b
69713,214.03972002562912,51.367846413188445,4.75,0.236,-6.48849685324957e+17,-1.2466779351360813e+17,8.78253529005376e+17,AU Mic b
69732,214.0940526233112,46.08939916040373,4.18,0.087,-7.006502109989277e+17,-1.603892705848277e+17,8.21575626452403e+17,AU Mic b
69879,214.49928999344823,35.50960287163579,4.8,1.057,-1.5878487716870147e+18,-7.755970428023071e+17,1.3846585702194934e+18,AU Mic b
69896,214.55702225785035,-81.00821021523343,4.89,0.243,-3.429172232933276e+17,7.974557234659918e+16,-1.1451417821104218e+18,AU Mic b
69974,214.7773439044176,-13.37089275628569,4.52,0.128,-1.5843558253075645e+18,-7.833154425133348e+17,-2.4889553264034982e+17,AU Mic b
69996,214.8507978796553,-46.0581192012953,3.55,-0.184,-2.0684857654526815e+18,-1.1231159960444733e+18,-2.2372563508279534e+18,AU Mic b
70027,214.937470090534,16.30736260465894,4.84,1.228,-1.59101874819486e+18,-7.938283517230277e+17,6.656653021362921e+17,AU Mic b
70069,215.08131353560805,-56.38654953138598,4.3,0.082,-5.256148880229247e+18,-3.3732466450660966e+18,-9.185021991306847e+18,AU Mic b
70090,215.1387363406584,-37.88537314677426,4.05,-0.03,-1.6827881633250683e+18,-8.658486017541517e+17,-1.2770448786697777e+18,AU Mic b
70104,215.17778662865973,-45.18756664283942,4.78,0.31,-9.827284203392735e+17,-3.739567268590022e+17,-8.377292445279639e+17,AU Mic b
70264,215.653837948641,-58.458999827182986,4.76,0.795,-1.3074892165622057e+18,-6.170555684503823e+17,-2.1153944174994744e+18,AU Mic b
70300,215.7591119374048,-39.5119690214851,4.41,-0.185,-2.6527595265270886e+18,-1.588998095985469e+18,-2.3606607260640015e+18,AU Mic b
70306,215.77249535928783,-27.75481962559384,4.78,1.3,-1.3595752538397832e+18,-6.581473679366469e+17,-6.101094790825631e+17,AU Mic b
70327,215.84404181326715,8.446551389136104,4.86,0.01,-1.8038702755934236e+18,-9.8135560140192e+17,4.583487676355364e+17,AU Mic b
70497,216.2965235043562,51.84799877240187,4.04,0.497,-3.9674679449130995e+17,3.2433089238295136e+16,5.131346740954712e+17,AU Mic b
70574,216.5341341753804,-45.22152047242165,4.56,-0.147,-5.717010841619111e+18,-3.9106959595685903e+18,-6.793938150161394e+18,AU Mic b
70576,216.545186054267,-45.37932007281912,4.33,0.434,-1.8504382527197852e+18,-1.046517650043072e+18,-1.9563594612243674e+18,AU Mic b
70638,216.7241682094148,-83.66797321760173,4.31,1.3,-4.060328055997588e+17,2.29190156006672e+16,-2.461712189979743e+18,AU Mic b
70692,216.8816720053329,75.6961448607711,4.25,1.431,-8.175016893228948e+17,-2.8681444636081357e+17,3.3203086704961275e+18,AU Mic b
70753,217.04324791916915,-29.491801406418805,4.97,-0.074,-2.9038813697562967e+18,-1.8643320724815552e+18,-1.7755889986505044e+18,AU Mic b
70755,217.049605093494,-2.227977262025996,4.81,0.693,-1.1918942696089925e+18,-5.7240755690326726e+17,1.098944888867775e+17,AU Mic b
